"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","Attempt to withdraw a negative amount","","Thu Feb 06 23:51:20 CET 2025","passed","Thu Feb 06 23:51:20 CET 2025","","","",""
"","561","Attempt to deposit with an invalid account ID","","Thu Feb 06 23:51:18 CET 2025","passed","Thu Feb 06 23:51:18 CET 2025","","","",""
"","540","Attempt to withdraw more than the available balance","","Thu Feb 06 23:51:19 CET 2025","passed","Thu Feb 06 23:51:20 CET 2025","","","",""
"","1181","Successfully deposit money into an account","","Thu Feb 06 23:51:16 CET 2025","passed","Thu Feb 06 23:51:18 CET 2025","","","",""
"","105","Attempt to withdraw with an invalid account ID","","Thu Feb 06 23:51:19 CET 2025","passed","Thu Feb 06 23:51:19 CET 2025","","","",""
"","316","Attempt to deposit a negative amount","","Thu Feb 06 23:51:18 CET 2025","passed","Thu Feb 06 23:51:18 CET 2025","","","",""
"","115","Attempt to withdraw with an invalid currency","","Thu Feb 06 23:51:20 CET 2025","passed","Thu Feb 06 23:51:20 CET 2025","","","",""
"","517","Attempt to transfer with an invalid credit account","","Thu Feb 06 23:51:22 CET 2025","passed","Thu Feb 06 23:51:22 CET 2025","","","",""
"","406","Successfully withdraw money from an account","","Thu Feb 06 23:51:19 CET 2025","passed","Thu Feb 06 23:51:19 CET 2025","","","",""
"","35","Retrieve a non-existent account","","Thu Feb 06 23:51:16 CET 2025","passed","Thu Feb 06 23:51:16 CET 2025","","","",""
"","899","Create an account and retrieve it","","Thu Feb 06 23:51:15 CET 2025","passed","Thu Feb 06 23:51:16 CET 2025","","","",""
"","257","Attempt to transfer with an invalid debit account","","Thu Feb 06 23:51:22 CET 2025","passed","Thu Feb 06 23:51:22 CET 2025","","","",""
"","1342","Successfully transfer money from one account to another","","Thu Feb 06 23:51:20 CET 2025","passed","Thu Feb 06 23:51:22 CET 2025","","","",""
"","366","Attempt to deposit with an invalid currency","","Thu Feb 06 23:51:18 CET 2025","passed","Thu Feb 06 23:51:19 CET 2025","","","",""
